title,description,r,g,b,
普通酸性暗赤色土,典型的な酸性暗赤色土。,172,0,132,
岩盤質普通酸性暗赤色土,土壌表面から60cm以内に岩盤が現れる普通酸性暗赤色土。,172,2,132,
礫質普通酸性暗赤色土,土壌表面から60cm以内に礫層が現れる普通酸性暗赤色土。,172,4,132,
典型普通酸性暗赤色土,典型的な普通酸性暗赤色土。,172,6,132,
塩基性暗赤色土,主に超塩基性岩（かんらん岩、蛇紋岩）を母材とし、pHが高い土壌。,230,0,169,
粘土集積塩基性暗赤色土,「粘土集積層」をもつ塩基性暗赤色土。,232,0,169,
岩盤質粘土集積塩基性暗赤色土,土壌表面から60cm以内に岩盤が現れる粘土集積塩基性暗赤色土。,232,2,169,
礫質粘土集積塩基性暗赤色土,土壌表面から60cm以内に礫層が現れる粘土集積塩基性暗赤色土。,232,4,169,
典型粘土集積塩基性暗赤色土,典型的な粘土集積塩基性暗赤色土。,232,6,169,
普通塩基性暗赤色土,典型的な塩基性暗赤色土。,234,0,169,
岩盤質普通塩基性暗赤色土,土壌表面から60cm以内に岩盤が現れる普通塩基性暗赤色土。,234,2,169,
礫質普通塩基性暗赤色土,土壌表面から60cm以内に礫層が現れる普通塩基性暗赤色土。,234,4,169,
典型普通塩基性暗赤色土,典型的な普通塩基性暗赤色土。,234,6,169,
低地水田土,元々地下水の影響が無いか弱いところに水田を作ったため、鉄集積層が出来たり、灰色化した特徴的な断面をもつようになった低地の土壌。,0,112,255,
湿性低地水田土,土壌表面から75cm以内にグライ層よりも酸化的な「地下水湿性特徴」が現れる低地水田土。,2,112,255,
礫質湿性低地水田土,土壌表面から60cm以内に礫層または岩盤が現れる湿性低地水田土。,2,114,255,
細粒質湿性低地水田土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である湿性低地水田土。,2,116,255,
中粒質湿性低地水田土,次表層の土性がシルト質壌土、壌土、細砂壌土である湿性低地水田土。,2,118,255,
粗粒質湿性低地水田土,次表層の土性が粗砂壌土、壌質砂土、砂土である湿性低地水田土。,2,120,255,
表層グライ化低地水田土,水稲耕作下で灌漑水によって生成し、落水後も維持され作土から下方へ発達しているグライ層がある低地水田土。,4,112,255,
礫質表層グライ化低地水田土,土壌表面から60cm以内に礫層または岩盤が現れる表層グライ化低地水田土。,4,114,255,
細粒質表層グライ化低地水田土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である表層グライ化低地水田土。,4,116,255,
